roll_no,ktsem1,ktsem2,ktsem3,ktsem4,result
0801BM211009,0,0,2,0,Can Go To Next Sem
0801BM211012,0,0,0,1,Can Go To Next Sem
0801BM211062,0,0,0,2,Can Go To Next Sem
0801BM211065,0,0,1,0,Can Go To Next Sem
0801BM213D01,0,0,0,5,Can Go To Next Sem
0801BM233D01,0,0,2,4,SEM BACK
0801CE181115,0,0,0,7,SEM BACK
0801CE201018,0,0,0,2,Can Go To Next Sem
0801CE201032,0,0,3,5,SEM BACK
0801CE201035,0,0,0,5,Can Go To Next Sem
0801CE201052,0,0,0,1,Can Go To Next Sem
0801CE211005,0,0,1,2,Can Go To Next Sem
0801CE211009,0,0,0,2,Can Go To Next Sem
0801CE211010,0,0,0,1,Can Go To Next Sem
0801CE211012,0,0,2,2,Can Go To Next Sem
0801CE211031,0,0,0,3,Can Go To Next Sem
0801CE211036,0,0,1,4,Can Go To Next Sem
0801CE211058,0,0,1,2,Can Go To Next Sem
0801CE211060,0,0,2,4,SEM BACK
0801CE211063,0,0,0,3,Can Go To Next Sem
0801CE211068,0,0,0,5,Can Go To Next Sem
0801CE211069,0,0,2,3,Can Go To Next Sem
0801CE211094,0,0,0,1,Can Go To Next Sem
0801CE211096,0,0,0,1,Can Go To Next Sem
0801CE221008,0,0,0,1,Can Go To Next Sem
0801CE221013,0,0,0,1,Can Go To Next Sem
0801CE221019,0,0,0,5,Can Go To Next Sem
0801CE221028,0,0,0,1,Can Go To Next Sem
0801CE221029,0,0,0,1,Can Go To Next Sem
0801CE221030,0,0,0,1,Can Go To Next Sem
0801CE221034,0,0,2,3,Can Go To Next Sem
0801CE221038,0,0,0,1,Can Go To Next Sem
0801CE221041,0,0,0,5,Can Go To Next Sem
0801CE221042,0,0,0,1,Can Go To Next Sem
0801CE221048,0,0,1,2,Can Go To Next Sem
0801CE221049,0,0,0,1,Can Go To Next Sem
0801CE221053,0,0,1,4,Can Go To Next Sem
0801CE221054,0,0,0,5,Can Go To Next Sem
0801CE221059,0,0,1,2,Can Go To Next Sem
0801CE221062,0,0,0,1,Can Go To Next Sem
0801CE221063,0,0,1,5,SEM BACK
0801CE221066,0,0,0,1,Can Go To Next Sem
0801CE221068,0,0,0,5,Can Go To Next Sem
0801CE221069,0,0,0,6,SEM BACK
0801CE221072,0,0,0,5,Can Go To Next Sem
0801CE221074,0,0,0,3,Can Go To Next Sem
0801CE221075,0,0,1,6,SEM BACK
0801CE221076,0,0,0,2,Can Go To Next Sem
0801CE221088,0,0,0,2,Can Go To Next Sem
0801CE221097,0,0,0,1,Can Go To Next Sem
0801CE221102,0,0,1,0,Can Go To Next Sem
0801CE221103,0,0,2,6,SEM BACK
0801CE221112,0,0,1,4,Can Go To Next Sem
0801CE221115,0,0,0,4,Can Go To Next Sem
0801CE221119,0,0,0,4,Can Go To Next Sem
0801CE233D01,0,0,0,1,Can Go To Next Sem
0801CE233D03,0,0,0,1,Can Go To Next Sem
0801CE233D06,0,0,0,1,Can Go To Next Sem
0801CS201091,0,0,0,1,Can Go To Next Sem
0801CS201103,0,0,0,1,Can Go To Next Sem
0801CS201107,0,0,0,2,Can Go To Next Sem
0801CS211025,0,0,0,1,Can Go To Next Sem
0801CS211041,0,0,0,1,Can Go To Next Sem
0801CS211057,0,0,0,1,Can Go To Next Sem
0801CS211062,0,0,1,0,Can Go To Next Sem
0801CS211069,0,0,0,2,Can Go To Next Sem
0801CS211071,0,0,4,6,SEM BACK
0801CS211074,0,0,0,1,Can Go To Next Sem
0801CS211085,0,0,0,2,Can Go To Next Sem
0801CS211086,0,0,1,2,Can Go To Next Sem
0801CS211098,0,0,0,3,Can Go To Next Sem
0801CS213D07,0,0,0,2,Can Go To Next Sem
0801CS213D09,0,0,5,1,SEM BACK
0801CS221007,0,0,0,3,Can Go To Next Sem
0801CS221008,0,0,0,1,Can Go To Next Sem
0801CS221010,0,0,0,2,Can Go To Next Sem
0801CS221013,0,0,0,5,Can Go To Next Sem
0801CS221019,0,0,1,2,Can Go To Next Sem
0801CS221024,0,0,3,4,SEM BACK
0801CS221026,0,0,5,7,SEM BACK
0801CS221031,0,0,2,5,SEM BACK
0801CS221032,0,0,0,1,Can Go To Next Sem
0801CS221039,0,0,0,2,Can Go To Next Sem
0801CS221042,0,0,3,5,SEM BACK
0801CS221043,0,0,0,5,Can Go To Next Sem
0801CS221050,0,0,0,2,Can Go To Next Sem
0801CS221052,0,0,0,6,SEM BACK
0801CS221055,0,0,0,3,Can Go To Next Sem
0801CS221056,0,0,0,1,Can Go To Next Sem
0801CS221061,0,0,0,5,Can Go To Next Sem
0801CS221069,0,0,4,6,SEM BACK
0801CS221070,0,0,0,2,Can Go To Next Sem
0801CS221074,0,0,0,6,SEM BACK
0801CS221077,0,0,0,4,Can Go To Next Sem
0801CS221081,0,0,0,1,Can Go To Next Sem
0801CS221088,0,0,0,1,Can Go To Next Sem
0801CS221090,0,0,0,2,Can Go To Next Sem
0801CS221091,0,0,2,6,SEM BACK
0801CS221097,0,0,4,6,SEM BACK
0801CS221100,0,0,3,6,SEM BACK
0801CS221108,0,0,0,3,Can Go To Next Sem
0801CS221112,0,0,1,2,Can Go To Next Sem
0801CS221113,0,0,3,3,SEM BACK
0801CS221115,0,0,2,5,SEM BACK
0801CS221117,0,0,0,4,Can Go To Next Sem
0801CS221121,0,0,3,5,SEM BACK
0801CS221125,0,0,4,5,SEM BACK
0801CS221127,0,0,5,6,SEM BACK
0801CS221131,0,0,0,3,Can Go To Next Sem
0801CS221132,0,0,0,2,Can Go To Next Sem
0801CS221136,0,0,0,2,Can Go To Next Sem
0801CS221141,0,0,1,2,Can Go To Next Sem
0801CS221144,0,0,6,0,SEM BACK
0801CS221150,0,0,1,5,SEM BACK
0801CS221151,0,0,0,5,Can Go To Next Sem
0801CS221155,0,0,0,3,Can Go To Next Sem
0801CS221156,0,0,4,6,SEM BACK
0801CS221163,0,0,0,5,Can Go To Next Sem
0801CS221164,0,0,0,2,Can Go To Next Sem
0801CS221167,0,0,0,1,Can Go To Next Sem
0801CS223D02,0,0,2,5,SEM BACK
0801CS223D09,0,0,0,2,Can Go To Next Sem
0801CS233D06,0,0,0,1,Can Go To Next Sem
0801CS233D07,0,0,0,1,Can Go To Next Sem
0801CS233D10,0,0,1,5,SEM BACK
0801CS233D12,0,0,0,1,Can Go To Next Sem
0801EC191007,0,0,0,1,Can Go To Next Sem
0801EC201050,0,0,0,5,Can Go To Next Sem
0801EC211006,0,0,0,5,Can Go To Next Sem
0801EC211023,0,0,3,3,SEM BACK
0801EC211026,0,0,0,1,Can Go To Next Sem
